,Créateur/auteur : Nom et informations,Catégorie Créateur/auteur,Genre de l'host,NOM DE L'HOST
1122,Sophie ALEX-BAECQUER (présentation,Activiste/associatif,AD,AD
1123,Solenne Niedercorn,professionnel secteur,F,Solenne Niedercorn
1124,"Thierry LYONNET, journaliste",Journaliste,AD,AD
1125,rédaction,Rédaction,AD,AD
1126,Léo BELNOU (animation),Rédaction,H,Léo BELNOU
1127,nsp,NSP,AD,AD
1128,rédaction,Rédaction,AD,AD
1129,"Virginie GIROD, historienne","Prof, chercheurs",F,Virginie GIROD
1130,"des ""experts"" : nutritionniste...",Autres,AD,AD
1131,"Lucile BELLAN, journaliste freelance",Journaliste,AD,AD
1132,rédaction,Rédaction,AD,AD
1133,rédaction,Rédaction,H,Multiples
1134,rédaction,Rédaction,F,AD
1135,"Lucas SCARLTRITTI, ex Ouest France, aujourd'hui chez Bababam",auteur/réalisateur,H,Lucas SCARLTRITTI
1136,"Jean-François Morisse, journaliste",Journaliste,AD,AD
1137,Aurèle Jacquot,auteur/réalisateur,H,Aurèle Jacquot
1138,"Melody Madar, la co-fondatrice du média Les Éclaireuses",Journaliste,F,Melody MADAR
1139,non précisé,Studio de podcast,AD,AD
1140,rédaction,Rédaction,AD,AD
1141,"Arnaud DI PASQUALE, ancien tennisman, consultant",professionnel secteur,AD,AD
1142,nsp,NSP,AD,AD
1143,"Elise GOLDFARB, Julia LAYANI, journalistes, entrepreneures",Journaliste,AD,AD
1144,nsp,NSP,AD,AD
1145,"Dominique RIZET, journaliste",Journaliste,AD,AD
1146,Ilham Maad,auteur/réalisateur,F,Ilham Maad
1147,"Gregory BARBIER, journaliste multimédia, Emeline PIUCCIO, journaliste web, Est Républicain",Journaliste,H,Grégory BARBIER
1148,rédaction,Rédaction,AD,AD
1149,Anne-Bénédicte REBBOAH,AD,F,Anne-Bénédicte REBBOAH
1150,AD,AD,AD,AD
1151,journalistes de la rédaction,Rédaction,H,Multiples
1152,Grégoire Margotton,Journaliste,H,Grégoire Margotton
1153,nsp,NSP,AD,AD
1154,nsp,Rédaction,AD,AD
1155,Marie Eloy,Activiste/associatif,F,Marie ELOY
1156,rédaction,Rédaction,AD,AD
1157,"Caroline PASTORELLI, journaliste (animation)",Journaliste,F,Caroline PASTORELLI
1158,écrit pas Cherif Ghemmour avec la voix de Denis Podalydès.,Journaliste,H,Denis POLALYDES
1159,Soldat Petit pois,AD,H,Soldat petit pois
1160,"Baptiste LECAPLAIN, humoriste, Paul VEXIAU, réalisateur radio RMC",Autres,AD,AD
1161,Anicet Mbida et Ombeline Roche ,AD,F,Anicet Mbida et Ombeline Roche 
1162,rédaction,Rédaction,F,Multiples
1163,"David MILLIAT, journaliste",Journaliste,AD,AD
1164,"nsp, marque?",NSP,AD,AD
1165,Stéphanie Duncan,Journaliste,F,Stéphanie Duncan
1166,AD,AD,AD,AD
1167,nsp,NSP,F,Lucie
1168,"Adelaïde STEPHAN, indépendante",auteur/réalisateur,F,Adelaïde STEPHAN
1169,rédaction,Rédaction,F,AD
1170,"Auteurs :  Florent Mounier, Sébastien Girard.

💡Pour soutenir le podcast mettez 5 étoiles à ce podcast sur Apple Podcasts ou Spotify.",AD,H,"Florent Mounier, Sébastien Girard"
1171,"Kpénahi TRAORÉ, journaliste",Journaliste,AD,AD
1172,"Etienne MENU, journaliste culture",Journaliste,AD,AD
1173,David Commeillas,auteur/réalisateur,H,David Commeillas
1174,nsp,Rédaction,F,Maud RIEU
1175,rédaction,Rédaction,AD,AD
1176,Marius Uhl & Charlotte Giorgi ,AD,H+F,Marius Uhl & Charlotte Giorgi 
1177,AD,AD,AD,AD
1178,"illes della Posta et Stéphane Vrignaud, journalistes à Eurosport",Journaliste,H,"illes della Posta et Stéphane Vrignaud, journalistes à Eurosport"
1179,"Jean-Marie LEAU, auteur compositeur interprète",Artiste,AD,AD
1180,nsp,NSP,AD,AD
1181,"Vincent MAZOUÉ, responsable communication chez Vinci autoroutes",Autres,AD,AD
1182,AD,AD,AD,AD
1183,Jean-Marie Leau ,Journaliste,H,Jean-Marie Leau 
1184,nsp,nsp,H,AD
1185,rédaction,Rédaction,F,AD
1186,rédaction,Rédaction,AD,AD
1187,journalistes de la rédaction,Rédaction,H,Philippe JOUBIN
1188,rédaction,Rédaction,AD,AD
1189,"Aline Fontaine, journaliste",Journaliste,F,Aline FONTAINE
1190,rédaction,Rédaction,F,Lolita BLASSIEAUX
1191,rédaction,Rédaction,AD,AD
1192,rédaction,Rédaction,AD,AD
1193,nsp,Studio de podcast,AD,AD
1194,non précisé,Studio de podcast,AD,AD
1195,rédaction,Rédaction,H,Benoit
1196,nsp,NSP,AD,AD
1197,"Danièle GERKENS, journaliste, directrice de rédaction",Journaliste,AD,AD
1198,"Antoine Molkhou ; Julien Veniel, Antoine Molkhou : DJ, programmateur du Rex Club mais aussi auteur pour la télévision et animateur sur Rinse France, Antoine est à la tête du label house Popcorn Records. - Julien Veniel : DJ et producteur, Julien alias D’Julz tourne à travers le monde depuis 30 ans. A la tête du label Bass Culture, il est aussi DJ résident du célèbre Rex Club depuis 2 décennies. ",auteur/réalisateur,H+F,AD
1199,rédaction,Rédaction,H,AD
1200,Julien Froment,Journaliste,H,Julien Froment
1201,"Phillipe LANSAC, directeur éditorial RCF",Journaliste,AD,AD
1202,"Julien, expert en lutte contre la fraude",professionnel secteur,AD,AD
1203,"Marion HAZOUT, manager Victor VIRIOT, produc and content, Brut",Autres,AD,AD
1204,"Texte, voix, réalisation : Roisin Burns - Prise de son et montage : Lucas Salvador - Mix : Samuel Hirsch - Production : ARTE Radio

",auteur/réalisateur,H,Roisin Burns
1205,Stéphane Moïssakis,AD,H,Stéphane Moïssakis
1206,rédaction,Rédaction,AD,AD
1207,"Anne MELLIER (réalisation), journaliste",Journaliste,AD,AD
1208,"Alexis Buisson, responsable éditorial : Christophe de Galzain. ",Journaliste,H,Alexis BUISSON
1209,Brice Depasse,H,H,Brice Depasse
1210,Sébastien Guyot ,Journaliste,H+F,Sébastien Guyot 
1211,AD,AD,AD,AD
1212,"François DEFOSSEZ, Head of Media, directeur du pôle conseil de CosaVostra et host du podcast Mediarama.",professionnel secteur,H,François DEFOSSEZ
1213,rédaction,Rédaction,F,Mélina LE CORRE
1214,AD,AD,H,AD
1215,"Sophie-Marie LARROUY, journaliste, comédienne, scénariste",Journaliste,AD,AD
1216,rédaction,Rédaction,H,N-S.
1217,Igor NOM INAUDIBLE,NSP,H,AD
1218,"Charlotte Pudlowski (écriture, animation), auteure et journaliste",auteur/réalisateur,AD,AD
1219,Leslie Menahem,auteur/réalisateur,F,Leslie Menahem
1220,rédaction,Rédaction,AD,AD
1221,rédactions du Champagne FM et Union-Ardennais,Rédaction,H,AD
1222,"Francis ZEGUT, animateur, producteur",Journaliste,AD,AD
1223,rédaction,Rédaction,H,AD
1224,rédaction,Rédaction,H,Denis DUPONT
1225,Aude Lavigne ; Etienne Menu ; Thomas Baumgartner ; David Commeillas ; Alain Kruger ; Guillaume Podrovnik ; Laurence Garcia,auteur/réalisateur,H+F,AD
1226,"idée de Jerôme YAGER, journaliste, par ""la cellule podcast""",Rédaction,H,Jérôme YAGER
1227,"Magali BARTHÈS, journaliste",Journaliste,AD,AD
1228,"Christelle CHIROUX, médiatrice de l'information lci",Journaliste,AD,AD
1229,Laurent Marchand (animation),Rédaction,H,Laurent MARCHAND
1230,rédaction,Rédaction,F,Carole
1231,"Capucine TROLLION, rédactrice culture, société, média, RTL",Journaliste,AD,AD
1232,"nsp, marque?",NSP,AD,AD
1233,"Jean-Alphonse RICHARD, journaliste",Journaliste,AD,AD
1234,rédaction,Rédaction,AD,AD
1235,rédaction,Rédaction,F,Frédérique MICHALAK
1236,"Yohann LEMORE, attaché de production audio, animation de différents pdocasts de la rédaction",Autres,H,Yohann LEMORE
1237,rédaction,Rédaction,F,Virginie LEMORE GUERIN
1238,rédaction,Rédaction,H,AD
1239,rédaction,Rédaction,F,Stéphanie PEREZ
1240,"Alice ROY, chargée de communication Parc naturel régional la Narbonnaise",Autres,F,Alice ROY
1241,rédaction,Rédaction,H,Frédéric BONET
1242,"Mélanie WANGA, Rozenn LE CARBOULEC, journalistes",Journaliste,AD,AD
1243,"Sophie COSTE, animatrice",Journaliste,F,Sophie COSTE
1244,"Frédérique MICHALAK, journaliste",Journaliste,F,Frédérique MICHALAK
1245,rédaction,Rédaction,F,Diane SABOURAUD
1246,"Marion THIBA, documentariste",auteur/réalisateur,F,Marion THIBA
1247,rédaction,Rédaction,AD,AD
1248,"Idée originale: Alain Baute, Estelle Devic,
Conception du jeu et présentation: Yohann Lemore
Questions: Estelle Devic, Alain Baute, Yohann Lemore",Journaliste,H,Yohann LEMORE
1249,NSP,nsp,H,AD
1250,rédaction,Rédaction,AD,AD
1251,rédaction,Rédaction,F,Virginie VALS
1252,rédaction,Rédaction,H,Yohann LEMORE
1253,rédaction,rédaction,AD,AD
1254,Mégane Fleury,Journaliste,F,Mégane FLEURY
1255,"nsp, marque?",NSP,AD,AD
1256,rédaction,Rédaction,AD,AD
1257,AD,AD,AD,AD
1258,rédaction,Rédaction,AD,AD
1259,"Delphine Saltel auteure, productrice radio France Culture",auteur/réalisateur,F,AD
1260,nsp,NSP,AD,AD
1261,"Yohann LEMORE, attaché de production audio, animation de différents pdocasts de la rédaction",Autres,H,Yohann LEMORE
1262,"Philippe CONGARD, comédien/voix-off",Artiste,H,Philippe CONGARD
1263,"Jérôme VERMELIN, rédac chef adjointl LCI",Journaliste,AD,AD
1264,rédaction,Rédaction,AD,AD
1265,rédaction,Rédaction,AD,AD
1266,Anna Roy ,professionnel secteur,F,Anna Roy 
1267,rédaction,Rédaction,F,AD
1268,"Frédéric LEWINO, le Point",Journaliste,AD,AD
1269,nsp,NSP,F,AD
1270,Paco Debonnaire,professionnel secteur,H,Paco Debonnaire
1271,"Ilham MAAD, auteure-réalisatrice, Merry ROYER, autrice de podcasts",auteur/réalisateur,AD,AD
1272,"Loup Lassinat Foubert (animation), Social media manager",Autres,H,Loup LASSINAT FOUBERT
1273,"Jean-Pierre PERNAUT, journaliste",Journaliste,AD,AD
1274,rédaction,Rédaction,AD,AD
1275,rédaction,Rédaction,AD,AD
1276,"Dominique BESNEHARD, producteur",professionnel secteur,AD,AD
1277,"Amelle NEBIA, rédac chef adjointe",Journaliste,H+F,AD
1278,"Dorothé MYRIAM KELLOU, journaliste, Nedjma BOUAKRA, journaliste, documentariste sonore, Alain LEWCOWICZ, auteur réalisateur producteur",Journaliste,AD,AD
1279,Benjamin Lubszynski (présentation),Rédaction,H,Benjamin LUBSZYNSKI
1280,nsp,nsp,H+F,AD
1281,AD,AD,AD,AD
1282,"Peggy SASTRE, journaliste scientifique, Laetitia STRAUCH-BONART, éditorialiste, rédac chef au Point",Journaliste,AD,AD
1283,AD,AD,AD,AD
1284,"Françoise Champeaux, rédac chef semaine sociale lamy",Journaliste,AD,AD
1285,"Emmanuel VIAU, Céline Rousseau, journaliste, adjointe au laboratoire d'innovation numérique",Journaliste,H+F,"Emmanuel VIAU, Céline ROUSSEAU"
1286,"Sophian FANEN, journaliste fondateur des Jours",Journaliste,AD,AD
1287,AD,AD,AD,AD
1288,"Anne-Cécile GENRE, journaliste, réalisatrice",Journaliste,AD,AD
1289,rédaction,Rédaction,AD,AD
1290,"Titiou LECOQ, journaliste",Journaliste,AD,AD
1291,nsp,NSP,AD,AD
1292,Nina Almberg,auteur/réalisateur,F,Nina Almberg
1293,David Balsamp,amateur/concerné,AD,David Balsamp
1294,rédaction,Rédaction,H,Thomas DERAIS
1295,nsp,NSP,AD,AD
1296,"Nicolas FAUROUX, rédac chef RTL",Journaliste,AD,AD
1297,rédaction,Rédaction,F,"Elodie ANTOINE, Sophie DONSEY"
1298,nsp,NSP,H,AD
1299,"Arianne MASSENET, journaliste",Journaliste,AD,AD
1300,rédaction,Rédaction,AD,AD
1301,"Présentation : Charlotte Pudlowski, Maureen Wilson",auteur/réalisateur,AD,AD
1302,rédaction,Rédaction,F,Lolita BLASSIEAUX
1303,Philippe  ? journaliste?,Journaliste,AD,AD
1304,"Elvire EMPTAZ, journaliste",Journaliste,F,Elvire EMPTAZ
1305,"Clémence GUEIDAN, journaliste",Journaliste,AD,AD
1306,Valérie Cantié,Journaliste,F,Journaliste
1307,Éric Dussart.,Journaliste,H,Éric Dussart.
1308,rédaction,Rédaction,AD,AD
1309,rédaction,Rédaction,H,Philippe RICHARD
1310,"Anne VERMES (écriture), entrepreneure, auteure avec Guillaume PIGEAT, consultant et chef de projet, présenté par Loming GUILLO, rédac chef",Autres,AD,AD
1311,rédaction,Rédaction,F,Inès
1312,"Sebseb, Clotilde, Nen, LEM, Mo Absoir, Lucie Joy, Treize accordée, CatMat et Master No.",Artiste,AD,AD
1313,nsp,NSP,AD,AD
1314,AD,AD,F,AD
1315,"Charlotte LATOUR, journaliste",Journaliste,AD,AD
1316,Charlotte Latour,Journaliste,F,Charlotte Latour
1317,rédaction,Rédaction,AD,AD
1318,rédaction,Rédaction,AD,AD
1319,Vanessa Brias & Monsieur Poulpe,NSP,H+F,AD
1320,Philomène Vuillard,nsp,F,Philomène Vuillard
1321,rédaction,Rédaction,AD,AD
1322,rédaction,Rédaction,H+F,Multiples
1323,"Sandrine CAMPESE, membre du comité d'experts du Projet Voltaire",Activiste/associatif,AD,AD
1324,"Anouk PERRY, podcasteuse indépendante",auteur/réalisateur,AD,AD
1325,"Marie THIRY-DOAT, stagiaire podcast puis correspondante locale",Journaliste,F,Marie THIRY-DOAT
1326,"Eléonore MERLIN, journaliste",Journaliste,AD,AD
1327,"Anne-Laetitia Béraud, journaliste 20 minute",Journaliste,AD,AD
1328,Gregory BARBIER,Journaliste,H,Gregory BARBIER
1329,rédaction,Rédaction,F,Alexandra PACROT
1330,"Antoine GOURITIN (écriture, réalisation)",Journaliste,H,Antoine GOURITIN
1331,Jérémy Leroux,auteur/réalisateur,H,Jérémy Leroux
1332,AD,AD,AD,AD
1333,"Perrine QUENNESSON, journaliste",Journaliste,AD,AD
1334,nsp,NSP,H,AD
1335,rédaction de l'Avenir de l'Artois,Rédaction,F,AD
1336,Cette émission est animée par Emmanuel Davidenkoff et Joséfa Lopez.,Journaliste,H,Emmnauel DAVIDENKOFF
1337,AD,AD,AD,AD
1338, Jean Bonnefon,NSP,AD,AD
1339,"Marie-Stéphanie SERVOS, journaliste (animation)",Journaliste,AD,AD
1340,nsp,NSP,H,AD
1341,Robin (nom de famille non précisé),content manager,H,Robin
1342,Ingrid Obiol,nsp,F,Ingrid Obiol
1343,"Alexandre Duval, 42 ans. Né à Poitiers. Réalisateur sonore, travaille avec France Culture (Les Passagers de la nuit) et depuis 2005 avec ARTE Radio autant pour des documentaires que des essais radiophoniques. Responsable de la filière son du master de création documentaire (Angoulême, Université de Poitiers) entre 2016 et 2019.",auteur/réalisateur,H+F,AD
1344,Yasmina & Océane,amateur/concerné,F,AD
1345,"Taous MERAKCHI, alias Jack PARKET, rédactrice web, autrice",auteur/réalisateur,F,Taous MERAKCHI
1346,"Julien BLANC-GRAS, journaliste",Journaliste,H,Julien BLANC-GRAS
1347,"Francis DORDOR, journaliste",Journaliste,H,Francis DORDOR
1348,AD,AD,H,AD
1349,Claire Lang,AD,F,Claire Lang
1350,"Jean-Marie RUSSE, référent technique, Républicain Lorrain",Autres,H,Jean-Marie RUSSE
1351,"Nina Montagné, journaliste et réalisatrice",Journaliste,F,Nina MONTAGNÉ
1352,Sophie Marinopoulos,Autres,F,Sophie Marinopoulos
1353,"Anaïs BORDAGE, pigiste Slate, Marie TELLING, chef service société/culture/vie privée Elles",Journaliste,AD,AD
1354,Virginie DE ROCQUIGNY,Rédaction,F,Virginie DE ROCQUIGNY
1355,Les Cavalcades,Studio de podcast,AD,AD
1356,Christine Bravo,Journaliste,F,Christine Bravo
1357,"Isabelle MOTROT, directrice rédaction Causette",Journaliste,AD,AD
1358,Louis et Michel,nsp,AD,AD
1359,"Sabrina Seddiki, Marie-Claire Bruley",auteur/réalisateur,F,"Sabrina Seddiki, Marie-Claire Bruley"
1360,"Guy DE TONQUÉDEC, auteur, comédien",auteur/réalisateur,AD,AD
1361,rédaction,Rédaction,H+F,Multiples
1362,nsp,NSP,AD,AD
1363,AD,AD,AD,AD
1364,AD,AD,AD,AD
1365,"Jean-Marie RUSSE, référent technique, Républicain Lorrain",Autres,H,Jean-Marie RUSSE
1366,rédaction,Rédaction,H,Multiples
1367,rédaction,Rédaction,H+F,Multiples
1368,Klaire fait Grr,auteur/réalisateur,F,Klaire fait Grr
1369,rédaction,Rédaction,H,"Willy BILLIARD, Yann TOURBE"
1370,rédaction,Rédaction,H,Multiples
1371,rédaction,Rédaction,H,Multiples
1372,"Maud VENTURA, journaliste",Journaliste,F,Maud VENTURA
1373,Pyrénées Méditerrannée Invest,Autres,H,Yohann LEMORE
1374,"Jean-Marie RUSSE, référent technique, Républicain Lorrain",Autres,H,Jean-Marie RUSSE
1375,AD,AD,AD,AD
1376,AD,AD,F,AD
1377,AD,AD,F,AD
1378,AD,AD,AD,AD
1379,"Marine BECCARELLI, enseignante-chercheuse en Histoire, productrice documentaire, Viviane CHAUDON, productrice, programmatrice, Clara LACOMBE, auteure-réalisatrice sonore",auteur/réalisateur,AD,AD
1380,rédaction,Rédaction,AD,AD
1381,rédaction,Rédaction,AD,AD
1382,nsp,NSP,AD,AD
1383,"Thomas DESEUR, podcasteur, rédacteur, journaliste, Jonathan AUPART, nsp",Journaliste,AD,AD
1384,rédaction,Rédaction,H,Georges
1385,"Caroline NOGUERAS, journaliste",Journaliste,AD,AD
1386,"Diane LALOUM DE MEDINA,  voix off, freelance",Autres,F,Diana Laloum de Medina
1387,Clémentine Métaigné & Florence Maurice,Journaliste,F,Clémentine Métaigné & Florence Maurice
1388,Elodie Chabrol,AD,F,Elodie Chabrol
1389,Arnaud Wassmer et Anna Quéré,nsp,H,Arnaud Wassmer
1390,AD,AD,AD,AD
1391,Unseen Samy et Peter Anderson (présentation),Rédaction,H,"Samy UNSEEN, Peter ANDERSON"
1392,"Lomig GUILLO, rédacteur en chef Management",Journaliste,AD,AD
1393,"Christel DE FOUCAULT, auteure et formatrice, ancienne recruteuse",Autres,AD,AD
1394,rédactions de l'indicateur des Flandres et du Journal des Flandres (groupe Nord littoral),Rédaction,F,Multiples
1395,"nsp, marque?",NSP,AD,AD
1396,non précisé,nsp,AD,AD
1397,les journalistes de la Voix du Nord,Rédaction,F,AD
1398,nsp,NSP,AD,AD
1399,Jean Pierre DELOR (présentation),Rédaction,H,Jean-Pierre DELOR
1400,"Christophe CARRON, dir rédac Slate",Journaliste,AD,AD
1401,journalistes de la rédation,Rédaction,H,Multiples
1402,"Esdras NDIKUMANA, journaliste, Arnaud ZAJTMAN, journaliste",Journaliste,AD,AD
1403,"jack stouvenin
",Journaliste,H,"jack stouvenin
"
1404,Stavro,amateur/concerné,H,Stavro
1405,rédaction,Rédaction,AD,AD
1406,"Maheva Stephan-Bugni, compte Instagram Astrotruc, enseignante, autrice",auteur/réalisateur,AD,AD
1407,"Joseph Ghosn. Chroniqueurs : Norine Raja, Margaux Krehl et Philippe Azoury",Journaliste,H,Joseph GHOSN
1408,"Clémence Gueidan 
",AD,F,"Clémence Gueidan 
"
1409,"Crystal SELOSSE, journaliste, Laurie PINON, monteuse",Journaliste,AD,AD
1410,"Claire JEHANNO, auteure, podcasteuse, Adrien LE BLOND, responsable production audio",auteur/réalisateur,AD,AD
1411,"Quentin TENAUD, auteur-réalisateur podcasts, Raphaëlle DUCLOS, en recherche d'emploi comme chargée d'étude en sociologie",auteur/réalisateur,AD,AD
1412,"Cécile POLLART, journaliste",Journaliste,AD,AD
1413,AD,AD,AD,AD
1414,Fabrice Lundi,nsp,H,Fabrice Lundi
1415,"Elodie RABÉ, journaliste Voix du Nord ; ""avec l'aide de Maxime Cuvillier"", respo pôle vidéo Weo TV, supervisé par Jean-Marc RIVIÈRE; rédac chef adjoint",Journaliste,F,Elodie RABÉ
1416,rédaction,Rédaction,H,Jean-Christophe
1417,"Rudy REICHSTADT, directeur Conspiracy Watch, Tristan MENDES-FRANCE, auteur, chroniqueur, MCF Université de Paris",professionnel secteur,AD,AD
1418,rédaction,Rédaction,AD,AD
1419,Camille Boulate (journaliste) accompagnée de Sylvain Bartolomeu (Franchise Management),Journaliste,H+F,Camille Boulate (journaliste) accompagnée de Sylvain Bartolomeu (Franchise Management)
1420,"Grégory LALLEMAND, Édouard WAYOLLE, journalsites de la rédaction",Rédaction,H,Edouard WAYOLLE
1421,rédaction,Rédaction,H,Denis VERNET
1422,rédaction,Rédaction,H,Yohann LEMORE
1423,rédaction,Rédaction,H,AD
1424,rédaction,Rédaction,H,AD
1425,nsp,NSP,AD,AD
1426,rédaction,Rédaction,AD,AD
1427,nsp,NSP,F,AD
1428,"Coumbis HOPE LOWIE, journaliste",Journaliste,AD,AD
1429,AD,NSP,AD,AD
1430,AD,NSP,AD,AD
1431,AD,NSP,AD,AD
1432,AD,NSP,AD,AD
1433,AD,NSP,AD,AD
1434,AD,NSP,AD,AD
1435,AD,NSP,AD,AD
1436,"Gaby FABRESSE, journaliste, Agatha LIEVAIN-BAZIN, éthologue",professionnel secteur,AD,AD
1437,rédaction,Rédaction,AD,AD
1438,rédaction,Rédaction,AD,AD
1439,rédaction,Rédaction,AD,AD
1440,AD,NSP,AD,AD
1441,AD,NSP,AD,AD
1442,AD,NSP,AD,AD
1443,nsp,NSP,H,AD
1444,service politique Franceinfo,Journaliste,AD,AD
1445,AD,NSP,AD,AD
1446,AD,NSP,AD,AD
1447,AD,NSP,AD,AD
1448,AD,NSP,AD,AD
1449,Sophie ROSEMONT journaliste et autrice,Journaliste,F,Sophie ROSEMONT
1450,"Victoire TUAILLON, journaliste, autrice",Journaliste,AD,AD
1451,AD,AD,AD,AD
1452,rédaction,Rédaction,H,Multiples
1453,"Manon PRIGENT, documentariste sonoire",auteur/réalisateur,F,AD
1454,rédaction Corse Matin et Corsica Radio,Rédaction,H,AD
1455,"Fabienne CHAUVRIÈRE, journaliste",Journaliste,AD,AD
1456,AD,AD,AD,AD
1457,nsp,NSP,F,AD
1458,Emmanuelle Lagadec ,AD,F,Emmanuelle Lagadec 
1459,rédaction,Rédaction,H+F,"Hélène AMIRAUX, Michel PIERRE"
1460,Nolwenn Thivault,AD,F,Nolwenn Thivault
1461,"Christophe RODO, neuroscientifique",professionnel secteur,AD,AD
1462,Jean-Christophe Buisson,Journaliste,H,Jean-Christophe Buisson
1463,journalistes de la rédaction,Rédaction,F,Marie-Amélie MOTTE
1464,AD,NSP,AD,AD
1465,AD,NSP,AD,AD
1466,nsp,Rédaction,AD,AD
1467,Franck Menant,AD,H,Franck Menant
1468,nsp,NSP,AD,AD
1469,rédaction,Rédaction,H,Benjamin POMMIER
1470,"Carole TOLILA, animatrice",Journaliste,F,Carole TOLILA
1471,"Major Mouvement, kiné youtubeur",professionnel secteur,H,Major Mouvement
1472,"Marianne VOURCH, auteure, productrice, conférencière",auteur/réalisateur,AD,AD
1473,rédaction,Rédaction,H,AD
1474,"Damien ALLEMAND, journaliste Nice MAtin, Athina GARINO, Françoise ASTOLFI, psychologues",Journaliste,H,Damien ALLEMAND
1475,nsp,Rédaction,AD,AD
1476,"June LOPER, podcasteuse, réalisatrice",auteur/réalisateur,AD,AD
1477,"Sega KANOUTÉ, journaliste",Journaliste,H,Sega KANOUTÉ
1478,AD,NSP,AD,AD
1479,AD,NSP,AD,AD
1480,AD,NSP,AD,AD
1481,AD,NSP,AD,AD
1482,AD,NSP,AD,AD
1483,"Baudouin ESCHAPASSE, le Point",Journaliste,AD,AD
1484,rédaction,Rédaction,F,Laureline PINJON
1485,"Philippe Joubin avec la collaboration de la rédaction et du service documentation de Ouest-France,",Rédaction,H,"Sylvain DELAGE, Philippe JOUBIN"
1486,Pablo Maillé,Journaliste,H,Pablo Maillé
1487,rédaction,Rédaction,AD,AD
1488,service économie Sud Ouest,Rédaction,H,Pascal RABILLIER
1489,AD,AD,AD,AD
1490,rédaction,Rédaction,AD,AD
1491, Eva Roque + chroniqueurs,Journaliste,F,Eva Roque
1492,Philippe et Sandy,Journaliste,H+F,Philippe et Sandy
1493,Emmanuel Viau.,étudiant.e.s,H,étudiant.e.s
1494,journalistes de la rédaction,Rédaction,AD,AD
1495,Alexandre Delivet,professionnel secteur,H,Alexandre Delivet
1496,rédaction,Rédaction,AD,AD
1497,AD,AD,AD,AD
1498,"Thibault LARUE (auteur), journaliste",Journaliste,AD,AD
1499,AD,NSP,AD,AD
1500,AD,NSP,AD,AD
1501,AD,NSP,AD,AD
1502,AD,NSP,AD,AD
1503,AD,NSP,AD,AD
1504,AD,NSP,AD,AD
1505,AD,NSP,AD,AD
1506,"Natacha POLONY, dir magazine Marianne",Journaliste,F,"Natacha POLONY, dir magazine Marianne"
1507,AD,NSP,AD,AD
1508,AD,NSP,AD,AD
1509,AD,NSP,AD,AD
1510,AD,NSP,AD,AD
1511,AD,NSP,AD,AD
1512,AD,NSP,AD,AD
1513,rédaction,Rédaction,H,Yohann LEMORE
1514,"Nadia DAAM, journaliste",Journaliste,AD,AD
1515,rédaction,Rédaction,AD,AD
1516,AD,AD,AD,AD
1517,"Edouard Cissé, MAthieu LILLE-PALETTE",professionnel secteur,H,"Edouard Cissé, MAthieu LILLE-PALETTE"
1518,Théo Fortunato,auteur/réalisateur,H,Théo Fortunato
1519,"Anna BUY (écriture), réalisatrice, radio",auteur/réalisateur,AD,AD
1520,"Rémi GODEAU, rédac chef l'Opinion, Michel TOBELEM, membre Beyond associés",Journaliste,H,"Rémi GODEAU, Michel TOBELEM"
1521,AD,AD,AD,AD
1522,rédaction,Rédaction,AD,AD
1523,"Florian GAZAN, journaliste",Journaliste,AD,AD
1524,"Flo MASNADA, ancienne championne de ski alpin",professionnel secteur,AD,AD
1525,"Solène DELANNOY, comédienne, auteure",auteur/réalisateur,AD,AD
1526,rédaction,Rédaction,F,Laureline PINJON
1527,"Élise COSTA, journaliste freelance, Mathilde LARGETEAU, cheffe de projet digital, podcasteuse freelance",Journaliste,AD,AD
1528,"Clémentine Dupontavice, autrice, illustratrice",Artiste,AD,AD
1529,AD,AD,H,AD
1530,AD,AD,F,AD
1531,"Marie JOURDAIN, journaliste Indicateur des Flandres",Journaliste,F,Marie JOURDAIN
1532,"Esther, journaliste Mademoizelle",Journaliste,AD,AD
1533,AD,NSP,AD,AD
1534,AD,NSP,AD,AD
1535,Guillaume Di Grazia et Colin Bourgeat,Journaliste,H,Guillaume Di Grazia et Colin Bourgeat
1536,"Philippe COLLIN, producteur, journaliste",Journaliste,AD,AD
1537,"Maud VENTURA, journaliste, Marion LEMOINE, Léa DES GARETS",Journaliste,F,Léa DES GARETS
1538,AD,NSP,AD,AD
1539,AD,NSP,AD,AD
1540,AD,NSP,AD,AD
1541,AD,NSP,AD,AD
1542,rédaction,Rédaction,H,Clément GASSY
1543,AD ,AD,H,AD
1544,Liz Gomis & Silvain Gire,auteur/réalisateur,H+F,Liz Gomis & Silvain Gire
1545,AD,NSP,AD,AD
1546,AD,NSP,AD,AD
1547,AD,NSP,AD,AD
1548,AD,NSP,AD,AD
1549,AD,AD,AD,AD
1550,rédaction,Rédaction,F,AD
1551,Ninon de l'Indépendant,Rédaction,F,Ninon
1552,nsp,nsp,AD,AD
1553,"Conception éditoriale : Apolline Guichet, auteur, David Groison, journaliste",Journaliste,H,David GROISON
1554,"Jeanne-Maris DESNOS, autrice podcast",auteur/réalisateur,AD,AD
1555,rédaction,Rédaction,AD,AD
1556,Soumaya Benaissa.,Journaliste,F,Soumaya Benaissa.
1557,AD,AD,AD,AD
1558,"Hélène DUMONT, conseillère conjugale",professionnel secteur,F,Hélène DUMONT
